,Molecule Tag,Linelist,Occurances
Potassium chloride,074505,CDMS,[236.51157]
Monothioformic acid,062516,CDMS,[236.51206]
"Disulfur dioxide, <i>cis</i>-isomer",096501,CDMS,"[236.51255, 240.08899]"
Cyanoacetylene,051001,JPL,"[236.51255, 237.08632, 237.09316, 237.43205, 237.96871, 238.01021, 238.05368]"
Methyl peroxide,048011,JPL,"[236.5145, 236.52183, 236.52281]"
Difluoromethane,052010,JPL,"[236.51499, 236.52622]"
Sulfur Dioxide,066501,CDMS,"[236.51597, 236.52232, 237.16934]"
Methyl chloride,084001,JPL,"[236.51646, 236.52232, 240.42886]"
Methyleneaminoacetonitrile,068506,CDMS,"[236.51695, 239.82481]"
Trans - HONO,047007,JPL,[236.51988]
Propenal,056008,JPL,"[236.52036, 240.08948, 240.31899, 240.42935]"
Cyanopropynyl,064509,CDMS,[236.52427]
Ethylene Oxide,044504,CDMS,[237.0956]
o-Benzyne,076503,CDMS,"[237.4301, 237.43205]"
Propadienonethione,084502,CDMS,[237.43058]
Sodium monoxide,039005,JPL,"[237.43205, 237.434, 237.852]"
Isocyanic Acid,043002,JPL,"[237.43205, 237.43254]"
Hexatriynylformyl,101501,CDMS,[237.43303]
"Ethanethiol, gauche",064517,CDMS,[237.43351]
Methyl Carbamate,075004,JPL,"[237.9692, 239.83556, 239.84972, 239.8712]"
"1,3-Butadiynyl radical",049504,CDMS,[238.05416]
Methyl diacetylene,064507,CDMS,"[239.62802, 240.08899]"
Pyridine,079501,CDMS,[239.6832]
Carbonyl fluoride,066001,JPL,[239.80821]
Vinyl formate,072505,CDMS,[239.80968]
Ethylenimine,043502,CDMS,[239.8253]
Thioformaldehyde,048508,CDMS,[239.82921]
Cyanomethyl,040505,CDMS,[239.83556]
Cyanamide,042003,JPL,[239.87218]
Methanimine,030514,CDMS,[240.31948]
